id,group
0,0
1,0
2,0
3,0
4,0
14,0
15,0
16,0
17,0
5,1
6,1
21,1
408,1
409,1
410,1
411,1
412,1
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,1
48,1
49,1
50,1
51,1
452,1
453,1
454,1
484,1
7,2
8,2
9,2
10,2
11,2
12,2
13,2
22,2
23,2
24,2
25,2
26,2
27,2
28,2
29,2
30,2
31,2
32,2
33,2
478,2
479,2
384,3
385,3
386,3
387,3
388,3
389,3
390,3
18,3
19,3
20,3
382,3
383,3
64,4
65,4
34,4
35,4
36,4
37,4
66,4
391,4
392,4
67,4
393,4
63,4
485,5
70,5
71,5
72,5
73,5
74,5
75,5
76,5
77,5
46,5
47,5
78,5
79,5
80,5
153,6
154,6
155,6
52,6
53,6
54,6
55,6
56,6
84,6
85,6
150,6
156,6
152,6
151,6
57,7
58,7
59,7
60,8
61,8
62,8
416,9
417,9
418,9
419,9
68,9
69,9
420,9
455,9
421,9
137,9
138,9
139,9
413,9
414,9
415,9
148,10
149,10
81,10
82,10
83,10
120,10
121,10
492,10
109,10
493,10
494,10
112,10
110,10
111,10
115,10
113,10
114,10
116,10
119,10
117,10
118,10
122,10
123,10
373,11
86,11
87,11
88,11
89,11
90,11
91,11
92,11
374,11
375,11
135,12
136,12
394,12
395,12
396,12
397,12
398,12
165,12
166,12
167,12
168,12
169,12
93,12
94,12
95,12
96,12
97,12
98,12
99,12
100,12
142,13
143,13
144,13
145,13
146,13
147,13
456,13
457,13
101,13
102,13
103,13
104,13
105,13
106,13
107,13
108,13
495,13
496,13
497,13
124,14
125,14
126,14
127,14
128,15
129,15
130,15
163,15
164,15
131,15
132,15
133,15
134,15
371,15
372,15
232,16
233,16
458,16
426,16
140,16
141,16
174,16
173,16
176,16
177,16
175,16
459,16
427,16
178,16
498,16
180,16
179,16
160,17
161,17
162,17
209,17
210,17
211,17
157,17
158,17
159,17
399,18
400,18
401,18
402,18
403,18
422,18
423,18
424,18
425,18
170,18
171,18
172,18
451,18
474,18
228,18
229,18
230,18
231,18
251,18
252,18
253,18
254,18
255,18
181,19
182,19
183,19
184,19
185,19
186,19
187,19
188,19
189,19
190,19
192,20
193,20
194,20
195,20
234,20
235,20
236,20
237,20
238,20
239,20
240,20
241,20
191,20
196,21
197,21
198,21
199,21
200,21
201,21
202,21
203,21
204,21
205,21
206,21
207,21
208,21
242,21
243,21
244,21
245,21
246,21
247,21
212,22
213,22
248,22
249,22
250,22
288,23
224,23
225,23
226,23
227,23
223,23
214,23
215,23
216,23
217,23
218,23
219,23
220,23
221,23
222,23
287,23
256,24
257,24
258,24
259,24
260,24
261,24
262,24
263,24
264,24
265,24
266,24
465,24
466,24
267,25
268,25
269,25
270,25
271,25
272,25
273,25
274,25
275,25
276,26
277,26
278,26
279,26
280,26
283,26
284,26
285,26
286,26
289,26
290,26
291,26
292,26
293,26
294,26
295,26
296,26
297,26
432,26
433,26
434,26
309,26
310,26
311,26
376,26
377,26
281,27
282,27
298,28
299,28
300,28
301,28
302,28
303,28
304,28
305,28
306,28
307,28
308,28
473,28
404,29
405,29
435,29
312,29
313,29
314,29
315,29
316,29
317,29
318,29
319,29
320,29
321,29
322,29
323,29
324,29
325,29
326,29
327,29
406,30
407,30
448,30
449,30
328,30
329,30
330,30
331,30
332,30
333,30
334,30
340,30
341,30
342,30
343,30
349,30
350,30
351,30
352,30
353,30
444,31
346,31
335,31
336,31
337,31
338,31
339,31
347,31
344,31
345,31
442,31
443,31
348,31
354,32
355,32
356,33
357,33
358,33
359,33
360,33
361,33
362,33
363,33
364,34
365,34
366,34
378,34
379,34
380,34
381,34
368,35
369,35
370,35
367,35
428,36
429,37
430,38
431,39
436,40
437,41
438,42
439,43
440,44
441,45
445,46
446,47
447,48
450,49
460,50
461,51
462,52
463,53
464,54
467,55
468,56
469,57
470,58
471,59
472,60
475,61
476,62
477,63
480,64
481,65
482,66
483,67
486,68
487,69
488,70
489,71
490,72
491,73
499,74
