id,group
0,0
1,0
2,0
16,0
3,0
15,0
17,0
4,0
14,0
18,0
19,0
387,0
388,0
20,0
386,0
389,0
385,0
390,0
384,0
383,0
382,0
5,1
6,1
7,1
21,1
22,1
452,1
453,1
8,1
478,1
479,1
408,1
23,1
9,1
409,1
24,1
10,1
25,1
11,1
26,1
12,1
29,1
27,1
13,1
28,1
30,1
33,1
31,1
32,1
34,2
35,2
391,2
36,2
392,2
37,2
64,2
38,2
63,2
65,2
393,2
411,2
412,2
410,2
66,2
394,2
413,2
67,2
395,2
68,2
396,2
414,2
415,2
39,3
40,3
41,3
42,3
43,3
49,3
50,3
454,3
44,3
48,3
45,3
47,3
484,3
46,3
73,3
72,3
485,3
74,3
71,3
70,3
69,3
416,3
455,3
417,3
418,3
419,3
420,3
421,3
51,4
52,4
53,4
54,4
55,4
56,4
85,4
84,4
153,4
83,4
152,4
154,4
82,4
115,4
151,4
155,4
81,4
116,4
150,4
156,4
80,4
117,4
79,4
118,4
78,4
119,4
77,4
120,4
76,4
121,4
75,4
122,4
123,4
57,5
58,5
59,5
60,6
61,6
62,6
86,7
87,7
88,7
89,7
90,7
91,7
92,7
373,7
374,7
372,7
375,7
163,7
129,7
164,7
128,7
130,7
371,7
131,7
132,7
133,7
134,7
93,8
94,8
95,8
96,8
97,8
98,8
99,8
100,8
101,8
397,8
102,8
398,8
103,8
104,8
105,8
106,8
456,8
457,8
107,8
143,8
495,8
142,8
496,8
141,8
497,8
108,9
109,9
110,9
492,9
493,9
494,9
111,9
112,9
113,9
114,9
148,9
147,9
149,9
146,9
145,9
144,9
124,10
125,10
126,10
127,10
135,11
136,11
137,11
168,11
170,11
138,11
167,11
169,11
171,11
399,11
422,11
166,11
172,11
229,11
400,11
423,11
165,11
228,11
230,11
231,11
252,11
401,11
424,11
251,11
253,11
402,11
451,11
474,11
425,11
139,12
140,12
177,12
178,12
458,12
176,12
179,12
498,12
175,12
180,12
459,12
174,12
233,12
173,12
232,12
426,12
427,12
157,13
158,13
159,13
160,13
209,13
161,13
210,13
162,13
211,13
181,14
182,14
183,14
184,14
185,14
186,14
187,14
188,14
189,14
190,14
191,14
192,14
193,14
194,14
195,15
196,15
240,15
197,15
241,15
242,15
239,15
198,15
243,15
238,15
199,15
244,15
237,15
200,15
245,15
236,15
201,15
202,15
246,15
235,15
203,15
234,15
204,15
205,15
206,15
247,15
207,15
208,15
212,16
213,16
248,16
249,16
250,16
214,17
215,17
216,17
217,17
287,17
218,17
288,17
219,17
289,17
220,17
221,17
222,17
223,17
224,17
225,17
226,17
227,17
254,18
255,18
256,18
257,18
258,18
259,18
465,18
466,18
260,18
261,18
262,18
263,18
264,18
265,18
266,18
267,18
268,18
269,18
270,18
271,18
272,18
273,18
274,18
275,18
276,19
277,19
283,19
377,19
278,19
284,19
290,19
295,19
296,19
309,19
403,19
376,19
279,19
285,19
291,19
297,19
310,19
280,19
286,19
432,19
433,19
292,19
434,19
311,19
293,19
294,19
281,20
282,20
298,21
299,21
313,21
473,21
300,21
314,21
301,21
315,21
302,21
316,21
303,21
317,21
304,21
305,21
306,21
307,21
308,21
312,22
320,22
319,22
321,22
435,22
318,22
322,22
405,22
323,22
404,22
324,22
325,22
326,22
327,22
328,23
329,23
406,23
407,23
330,23
340,23
331,23
341,23
349,23
332,23
342,23
350,23
333,23
343,23
351,23
334,23
344,23
352,23
335,23
345,23
353,23
448,23
449,23
336,23
443,23
346,23
444,23
337,23
442,23
347,23
338,23
348,23
339,23
354,24
355,24
356,25
357,25
358,25
359,25
360,25
361,25
362,25
363,25
364,26
365,26
366,26
381,26
380,26
379,26
378,26
367,27
368,27
369,27
370,27
428,28
429,29
430,30
431,31
436,32
437,33
438,34
439,35
440,36
441,37
445,38
446,39
447,40
450,41
460,42
461,43
462,44
463,45
464,46
467,47
468,48
469,49
470,50
471,51
472,52
475,53
476,54
477,55
480,56
481,57
482,58
483,59
486,60
487,61
488,62
489,63
490,64
491,65
499,66
