id,group
0,0
1,0
2,0
16,0
3,0
15,0
17,0
4,0
854,0
14,0
18,0
822,0
389,0
19,0
387,0
388,0
626,0
390,0
20,0
386,0
860,0
625,0
385,0
624,0
384,0
623,0
383,0
622,0
382,0
369,0
840,0
368,0
370,0
367,0
839,0
5,1
6,1
879,1
7,1
21,1
410,1
452,1
453,1
478,1
479,1
408,1
884,1
409,1
411,1
451,1
477,1
873,1
880,1
480,1
861,1
1023,1
38,1
1013,1
401,1
476,1
41,1
481,1
627,1
37,1
39,1
412,1
874,1
875,1
474,1
475,1
899,1
40,1
881,1
36,1
1028,1
1010,1
8,2
9,2
536,2
560,2
1073,2
10,2
535,2
22,2
620,2
621,2
26,2
561,2
11,2
559,2
534,2
23,2
537,2
1077,2
619,2
25,2
27,2
910,2
12,2
29,2
558,2
590,2
24,2
538,2
28,2
13,2
595,2
30,2
592,2
593,2
591,2
33,2
594,2
31,2
917,2
32,2
34,3
35,3
391,3
630,3
392,3
64,3
63,3
65,3
393,3
1011,3
841,3
66,3
394,3
986,3
632,3
67,3
395,3
68,3
990,3
991,3
668,3
862,3
396,3
413,3
414,3
629,3
102,3
415,3
100,3
1014,3
101,3
882,3
42,4
43,4
49,4
50,4
454,4
44,4
48,4
628,4
51,4
900,4
455,4
45,4
887,4
47,4
484,4
52,4
901,4
69,4
456,4
888,4
1035,4
71,4
46,4
73,4
483,4
70,4
416,4
669,4
878,4
105,4
72,4
670,4
485,4
889,4
74,4
482,4
104,4
106,4
890,4
1036,4
671,4
672,4
486,4
673,4
75,4
103,4
107,4
1039,4
1043,4
487,4
489,4
76,4
108,4
488,4
490,4
676,4
109,4
1078,4
674,4
491,4
493,4
494,4
675,4
492,4
1041,4
53,5
54,5
539,5
55,5
80,5
56,5
540,5
911,5
79,5
81,5
541,5
903,5
85,5
78,5
82,5
114,5
84,5
153,5
77,5
83,5
631,5
113,5
148,5
913,5
152,5
154,5
115,5
112,5
147,5
149,5
151,5
155,5
116,5
111,5
146,5
150,5
916,5
156,5
575,5
117,5
110,5
904,5
145,5
574,5
118,5
573,5
119,5
120,5
121,5
122,5
123,5
57,6
58,6
59,6
60,7
61,7
62,7
86,8
87,8
88,8
89,8
90,8
603,8
797,8
91,8
602,8
604,8
633,8
92,8
601,8
984,8
605,8
634,8
373,8
374,8
599,8
600,8
606,8
635,8
372,8
375,8
830,8
831,8
818,8
828,8
829,8
636,8
163,8
792,8
795,8
796,8
637,8
129,8
164,8
598,8
843,8
638,8
128,8
130,8
371,8
639,8
131,8
132,8
133,8
677,8
134,8
93,9
94,9
95,9
667,9
96,9
666,9
97,9
665,9
98,9
99,9
680,9
135,9
679,9
136,9
842,9
678,9
137,9
168,9
170,9
398,9
689,9
993,9
138,9
863,9
167,9
169,9
171,9
397,9
681,9
420,9
139,9
421,9
422,9
172,9
166,9
855,9
682,9
1025,9
419,9
690,9
173,9
165,9
683,9
691,9
418,9
174,9
684,9
692,9
417,9
175,9
685,9
885,9
886,9
124,10
125,10
572,10
126,10
571,10
127,10
140,11
177,11
178,11
458,11
686,11
714,11
176,11
179,11
498,11
457,11
687,11
693,11
1029,11
1030,11
180,11
459,11
1031,11
499,11
688,11
1042,11
694,11
233,11
234,11
734,11
1048,11
460,11
1044,11
500,11
235,11
1050,11
461,11
1017,11
236,11
501,11
716,11
719,11
237,11
909,11
502,11
735,11
720,11
238,11
1091,11
503,11
547,11
1045,11
736,11
721,11
239,11
737,11
748,11
546,11
722,11
545,11
738,11
723,11
724,11
725,11
1090,11
726,11
141,12
142,12
143,12
496,12
497,12
892,12
144,12
495,12
1079,12
695,12
700,12
905,12
906,12
696,12
1080,12
701,12
697,12
544,12
1081,12
698,12
699,12
907,12
187,12
542,12
543,12
185,12
186,12
188,12
189,12
184,12
717,12
1082,12
718,12
190,12
183,12
182,12
181,12
157,13
158,13
576,13
159,13
202,13
930,13
160,13
209,13
201,13
203,13
245,13
161,13
210,13
200,13
204,13
205,13
246,13
931,13
275,13
746,13
162,13
211,13
932,13
206,13
247,13
274,13
577,13
207,13
273,13
765,13
766,13
208,13
272,13
271,13
270,13
191,14
192,14
193,14
194,14
195,14
196,14
240,14
197,14
241,14
242,14
548,14
562,14
198,14
243,14
563,14
